CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,3,At Risk
12347.0,2,7,4310.0,0,High Value
12348.0,75,4,1797.24,0,High Value
12349.0,19,1,1757.55,0,High Value
12350.0,310,1,334.4,1,Regular
12352.0,36,8,2506.04,0,High Value
12353.0,204,1,89.0,1,Regular
12354.0,232,1,1079.4,1,Regular
12355.0,214,1,459.4,1,Regular
12356.0,23,3,2811.43,0,High Value
12357.0,33,1,6207.67,0,High Value
12358.0,2,2,1168.06,0,High Value
12359.0,58,4,6310.03,0,High Value
12360.0,52,3,2662.06,0,High Value
12361.0,287,1,189.9,1,Regular
12362.0,3,10,5226.23,0,High Value
12363.0,110,2,552.0,0,High Value
12364.0,8,4,1313.1,0,High Value
12365.0,291,2,641.38,1,Regular
12367.0,4,1,168.9,0,High Value
12370.0,51,4,3541.94,0,High Value
12371.0,45,2,1887.96,0,High Value
12372.0,72,3,1298.04,0,High Value
12373.0,311,1,364.6,1,Regular
12374.0,25,1,742.9300000000001,0,High Value
12375.0,11,2,457.5,0,High Value
12377.0,315,2,1628.12,1,Regular
12378.0,130,1,4008.62,0,High Value
12379.0,82,2,852.24,0,High Value
12380.0,22,4,2724.81,0,High Value
12381.0,5,5,1845.31,0,High Value
12383.0,185,5,1850.56,1,Regular
12384.0,29,2,585.27,0,High Value
12386.0,338,2,401.9,1,Regular
12388.0,16,6,2780.66,0,High Value
12390.0,80,1,549.84,0,High Value
12391.0,22,1,439.66,0,High Value
12393.0,72,4,1582.6000000000001,0,High Value
12394.0,64,2,1272.48,0,High Value
12395.0,19,12,3018.63,0,High Value
12397.0,36,2,2409.9,0,High Value
12398.0,46,1,1635.6599999999999,0,High Value
12399.0,119,4,1108.65,0,High Value
12401.0,303,1,84.3,1,Regular
12402.0,323,1,225.6,1,Regular
12403.0,50,1,427.7,0,High Value
12405.0,149,1,1710.39,1,Regular
12406.0,22,2,3415.3,0,High Value
12407.0,50,5,1708.1200000000001,0,High Value
12408.0,33,5,2888.55,0,High Value
12409.0,79,3,11072.67,0,High Value
12410.0,309,2,693.3299999999999,1,Regular
12412.0,75,3,1226.88,0,High Value
12413.0,67,3,758.1,0,High Value
12414.0,217,3,562.41,1,Regular
12415.0,24,21,124914.53,2,Occasional
12417.0,3,9,3649.1,0,High Value
12418.0,113,1,668.58,0,High Value
12420.0,64,1,600.39,0,High Value
12421.0,16,4,807.04,0,High Value
12422.0,96,3,803.5600000000001,0,High Value
12423.0,1,8,1859.31,0,High Value
12424.0,163,2,1760.96,1,Regular
12425.0,78,1,777.2,0,High Value
12426.0,195,1,582.73,1,Regular
12427.0,22,3,825.8,0,High Value
12428.0,26,9,7956.46,0,High Value
12429.0,9,4,3750.4,0,High Value
12430.0,43,1,256.4,0,High Value
12431.0,36,15,6419.95,3,At Risk
12432.0,43,5,5059.32,0,High Value
12433.0,1,7,13375.87,0,High Value
12434.0,85,2,806.14,0,High Value
12435.0,80,2,7829.89,0,High Value
12436.0,100,1,509.01,0,High Value
12437.0,2,18,4951.41,3,At Risk
12438.0,14,2,2906.85,0,High Value
12441.0,367,1,173.55,1,Regular
12442.0,3,1,172.06,0,High Value
12444.0,21,5,5005.46,0,High Value
12445.0,22,1,133.4,0,High Value
12446.0,58,1,1002.3100000000001,0,High Value
12447.0,243,1,476.49,1,Regular
12448.0,44,1,449.45,0,High Value
12449.0,22,4,4067.29,0,High Value
12450.0,156,2,197.88,1,Regular
12451.0,11,5,9035.52,0,High Value
12452.0,17,2,430.57,0,High Value
12453.0,134,1,707.09,0,High Value
12454.0,56,1,3528.34,0,High Value
12455.0,73,6,2466.86,0,High Value
12456.0,44,3,3181.04,0,High Value
12457.0,66,7,2363.23,0,High Value
12458.0,71,2,947.4,0,High Value
12461.0,94,2,826.88,0,High Value
12462.0,19,2,1189.59,0,High Value
12463.0,53,4,1344.78,0,High Value
12464.0,10,8,1212.05,0,High Value
12465.0,17,2,742.1899999999999,0,High Value
12468.0,188,2,729.5400000000001,1,Regular
12471.0,2,30,19788.65,3,At Risk
12472.0,32,7,6572.11,0,High Value
12473.0,29,5,3928.0499999999997,0,High Value
12474.0,17,18,7324.09,3,At Risk
12475.0,54,1,723.38,0,High Value
12476.0,16,11,6816.42,0,High Value
12477.0,23,6,13219.74,0,High Value
12478.0,4,1,680.99,0,High Value
12479.0,11,1,527.2,0,High Value
12480.0,28,4,3281.63,0,High Value
12481.0,23,10,5579.82,0,High Value
12483.0,17,8,2484.98,0,High Value
12484.0,33,6,4527.32,0,High Value
12488.0,10,3,1298.66,0,High Value
12489.0,336,1,334.93,1,Regular
12490.0,5,10,5417.93,0,High Value
12491.0,39,1,460.40000000000003,0,High Value
12492.0,63,2,263.21000000000004,0,High Value
12493.0,166,2,433.74,1,Regular
12494.0,16,7,1246.1000000000001,0,High Value
12497.0,82,1,1043.1,0,High Value
12498.0,21,3,403.70000000000005,0,High Value
12500.0,23,11,4257.82,0,High Value
12501.0,337,1,2169.39,1,Regular
12502.0,96,5,3723.87,0,High Value
12504.0,18,2,482.04999999999995,0,High Value
12506.0,233,1,73.5,1,Regular
12507.0,134,3,1304.81,0,High Value
12508.0,26,2,397.88,0,High Value
12509.0,284,1,176.5,1,Regular
12510.0,143,2,982.5699999999999,0,High Value
12512.0,66,2,132.18,0,High Value
12513.0,113,1,612.29,0,High Value
12514.0,267,1,1017.68,1,Regular
12515.0,353,1,383.7,1,Regular
12516.0,78,2,1312.06,0,High Value
12517.0,28,5,2481.6,0,High Value
12518.0,1,5,2056.89,0,High Value
12519.0,64,1,330.84,0,High Value
12520.0,79,5,2634.26,0,High Value
12521.0,143,1,599.68,1,Regular
12522.0,39,2,192.72,0,High Value
12523.0,19,11,1789.77,0,High Value
